variant,AE_deg,d_log,spread_MAE,wet_MAE,gain_MAE,room_MAE
rule_baseline,71.0147476196289,0.2626000642776489,19.982576370239258,0.18104998767375946,2.9119198322296143,3.032353639602661
rule_baseline,71.0147476196289,0.2626000642776489,19.982576370239258,0.18104998767375946,2.9119198322296143,3.032353639602661
linear(paraphrase-multilingual-MiniLM-L12-v2),61.79922020764096,0.25923786805007043,16.806686688731705,0.1673604010923994,1.0311861000952933,2.0143783949226495
linear(multilingual-e5-large),76.78637365065721,0.26342016280924196,16.800531475962817,0.16722300854600017,1.0165199458609517,2.0377287803241986
ours(t2sa_minilm_ft_clean_lastmile_ep6.pt),33.1860237121582,0.26701435446739197,14.374421119689941,0.17328326404094696,1.067042350769043,2.207242012023926
