name,N,AE,dlog,spread,wet,gain,room,worst3,lang_en,lang_ko,file
metrics_final_textprior,1566,34.7957649230957,0.2605281472206116,13.912787437438965,0.17616666853427887,1.0920488834381104,1.9749770164489746,"4,2,7",32.78,35.98,metrics_final_textprior.json
metrics_final,1566,34.7957649230957,0.26454880833625793,13.912787437438965,0.17588025331497192,1.0920490026474,1.9749770164489746,"4,2,7",32.78,35.98,metrics_final.json
metrics_pbcal_knn,1566,34.7957649230957,0.26454880833625793,13.912787437438965,0.17588025331497192,1.0920490026474,1.9749770164489746,"4,2,7",32.78,35.98,metrics_pbcal_knn.json
metrics_ens_pb_knn,1566,34.85377883911133,0.26251083612442017,15.196577072143555,0.18235564231872559,1.1225658655166626,1.9862991571426392,"4,2,7",33.04,35.92,metrics_ens_pb_knn.json
metrics_pbcal,1566,34.86759948730469,0.26454880833625793,13.912787437438965,0.17588025331497192,1.0920490026474,1.9749770164489746,"4,2,7",32.88,36.04,metrics_pbcal.json
metrics_all,1566,34.884334564208984,0.26454880833625793,13.912787437438965,0.17588025331497192,1.0920488834381104,1.9749770164489746,"4,2,7",32.89,36.06,metrics_all.json
metrics_ens_pb,1566,34.9456901550293,0.26251083612442017,15.196577072143555,0.18235565721988678,1.1225658655166626,1.9862991571426392,"4,2,7",33.13,36.01,metrics_ens_pb.json
metrics_proto_circ_knn,1566,34.97325134277344,0.26454880833625793,13.912787437438965,0.17588025331497192,1.0920490026474,1.9749770164489746,"4,2,7",33.01,36.13,metrics_proto_circ_knn.json
metrics_pbcal_arcalign,1566,34.98939514160156,0.26454880833625793,13.912787437438965,0.17588025331497192,1.0920490026474,1.9749770164489746,"4,2,7",33.04,36.14,metrics_pbcal_arcalign.json
metrics_proto,1566,35.05964660644531,0.26454880833625793,13.912787437438965,0.17588025331497192,1.0920490026474,1.9749770164489746,"4,2,7",33.1,36.21,metrics_proto.json
metrics_base,1566,35.06230926513672,0.26454880833625793,13.912787437438965,0.17588025331497192,1.0920490026474,1.9749770164489746,"4,2,7",33.17,36.18,metrics_base.json
metrics_minilm_ep6,1566,35.06692886352539,0.26454880833625793,13.912787437438965,0.17588025331497192,1.0920490026474,1.9749770164489746,"4,2,7",33.18,36.18,metrics_minilm_ep6.json
metrics_knn58,1566,35.071102142333984,0.26454880833625793,13.912787437438965,0.17588025331497192,1.0920490026474,1.9749770164489746,"4,2,7",33.18,36.18,metrics_knn58.json
metrics_circ,1566,35.07384490966797,0.26454880833625793,13.912787437438965,0.17588025331497192,1.0920490026474,1.9749770164489746,"4,2,7",33.18,36.19,metrics_circ.json
metrics_knn56_open,1566,36.35529327392578,0.26454880833625793,13.912787437438965,0.17588025331497192,1.0920490026474,1.9749770164489746,"4,2,7",35.0,37.16,metrics_knn56_open.json
